point_x_deg,point_y_deg,time
-4,4,1.2232498000375926
0,4,4.234024700010195
4,4,7.2351918001659214
-4,0,10.251593200024217
0,0,13.267586200032383
4,0,16.284037900157273
-4,-4,19.30192210013047
0,-4,22.318387200124562
4,-4,25.319005300058052
