filename,left_x,left_y,right_x,right_y
frame_0_00_00_000000.jpg,183,305,318,307
frame_0_00_00_033376.jpg,184,305,318,307
frame_0_00_00_066752.jpg,184,304,319,307
frame_0_00_00_100128.jpg,184,304,319,307
frame_0_00_00_133504.jpg,184,304,319,307
frame_0_00_00_166880.jpg,185,304,319,307
frame_0_00_00_200257.jpg,185,304,319,307
frame_0_00_00_233633.jpg,185,304,319,307
frame_0_00_00_267009.jpg,185,304,319,306
frame_0_00_00_300385.jpg,184,304,319,307
frame_0_00_00_333761.jpg,184,304,319,307
frame_0_00_00_367137.jpg,184,304,319,307
frame_0_00_00_400514.jpg,184,304,319,307
frame_0_00_00_433890.jpg,184,303,319,306
frame_0_00_00_467266.jpg,184,303,319,306
frame_0_00_00_500642.jpg,184,304,319,306
frame_0_00_00_534018.jpg,184,304,319,306
frame_0_00_00_567395.jpg,184,304,319,306
frame_0_00_00_600771.jpg,184,304,319,306
frame_0_00_00_634147.jpg,184,304,319,306
frame_0_00_00_667523.jpg,184,304,319,306
frame_0_00_00_700899.jpg,184,303,319,306
frame_0_00_00_734275.jpg,184,304,319,306
frame_0_00_00_767652.jpg,184,304,319,306
frame_0_00_00_801028.jpg,184,303,319,306
frame_0_00_00_834404.jpg,184,303,319,307
frame_0_00_00_867780.jpg,184,303,319,306
frame_0_00_00_901156.jpg,184,303,319,307
frame_0_00_00_934532.jpg,184,304,319,307
frame_0_00_00_967909.jpg,184,303,319,307
frame_0_00_01_001285.jpg,184,303,319,307
frame_0_00_01_034661.jpg,184,303,319,307
frame_0_00_01_068037.jpg,184,304,319,307
frame_0_00_01_101413.jpg,184,303,319,307
frame_0_00_01_134790.jpg,184,303,319,306
frame_0_00_01_168166.jpg,184,303,319,306
frame_0_00_01_201542.jpg,184,303,319,306
frame_0_00_01_234918.jpg,184,303,319,307
frame_0_00_01_268294.jpg,184,303,319,307
frame_0_00_01_301670.jpg,184,303,319,307
frame_0_00_01_335047.jpg,184,303,319,307
frame_0_00_01_368423.jpg,184,304,319,307
frame_0_00_01_401799.jpg,184,304,319,307
frame_0_00_01_435175.jpg,184,303,319,307
frame_0_00_01_468551.jpg,184,303,319,307
frame_0_00_01_501928.jpg,184,304,319,307
frame_0_00_01_535304.jpg,184,304,319,307
frame_0_00_01_568680.jpg,184,303,319,307
frame_0_00_01_602056.jpg,184,303,319,307
frame_0_00_01_635432.jpg,184,303,319,307
frame_0_00_01_668808.jpg,184,303,319,307
frame_0_00_01_702185.jpg,184,303,319,307
frame_0_00_01_735561.jpg,184,303,319,307
frame_0_00_01_768937.jpg,184,303,319,307
frame_0_00_01_802313.jpg,184,303,319,307
frame_0_00_01_835689.jpg,184,304,319,307
frame_0_00_01_869065.jpg,184,304,319,307
frame_0_00_01_902442.jpg,184,304,319,307
frame_0_00_01_935818.jpg,180,301,315,305
frame_0_00_01_969194.jpg,175,300,310,303
frame_0_00_02_002570.jpg,175,299,309,302
frame_0_00_02_035946.jpg,174,299,309,302
frame_0_00_02_069323.jpg,174,299,310,302
frame_0_00_02_102699.jpg,174,299,310,302
frame_0_00_02_136075.jpg,173,299,308,301
frame_0_00_02_169451.jpg,173,299,307,301
frame_0_00_02_202827.jpg,173,299,308,301
