start_time,end_time,duration,x_center,y_center
0.0,1.9691939999999999,1.9691939999999999,251.29166666666666,305.03333333333336
1.9691939999999999,5.440317,3.4711230000000004,239.88095238095238,299.73333333333335
5.5070689999999995,8.510925,3.0038560000000007,257.8076923076923,308.4945054945055
8.477549,11.514781,3.0372319999999995,259.3858695652174,299.6902173913044
11.548157,14.652142,3.1039849999999998,241.15425531914894,299.531914893617
14.652142,16.988474,2.3363320000000005,243.38732394366198,308.76056338028167
17.055227,19.55844,2.5032130000000024,259.61842105263156,299.6118421052632
19.591816,21.994901,2.4030849999999973,241.43150684931507,299.7260273972603
22.061653,24.397986,2.3363329999999998,258.82394366197184,308.7112676056338
24.36461,25.332519,0.9679090000000024,259.76666666666665,300.6
25.332519,25.93329,0.6007709999999982,253.60526315789474,305.9736842105263
