start_time,end_time,start_x,start_y,end_x,end_y,amplitude
1.835689,1.869065,251.4999999999999,305.37142857142845,251.842857142857,305.7571428571427,0.5160683390910565
2.102699,2.136075,241.6999999999999,300.3714285714284,240.7142857142856,300.12857142857126,1.015190743110856
5.340188,5.373564,239.19999999999987,299.4142857142856,239.92857142857133,299.5857142857141,0.7484678227102859
8.410796,8.444173,258.45714285714274,309.21428571428555,258.62857142857126,307.8571428571427,1.3679270776601489
11.448029,11.481405,259.742857142857,299.71428571428555,257.8285714285713,299.61428571428553,1.916895875085123
11.715038,11.748414,242.4142857142856,299.29999999999984,241.7142857142856,299.3285714285713,0.7005828477279461
14.552013,14.585389,241.54285714285703,299.37142857142845,241.28571428571416,300.38571428571413,1.0463737186988227
16.921722,16.955098,243.4142857142856,308.9999999999999,244.9285714285713,307.6999999999999,1.9957608134467915
19.458311,19.491688,260.5142857142856,299.4999999999999,259.442857142857,299.542857142857,1.0722853717026215
21.894772,21.928149,240.98571428571418,299.3714285714284,241.4285714285713,299.7571428571427,0.587280136888407
24.297857,24.331233,259.0857142857142,309.4142857142856,259.4999999999999,307.78571428571416,1.6804396897896756
25.23239,25.265766,260.37142857142845,299.8714285714284,259.9142857142856,300.0857142857141,0.5048742013449246
25.833161,25.866538,253.4999999999999,306.042857142857,253.4999999999999,306.5857142857142,0.5428571428572013
