start_time,end_time,start_x,start_y,end_x,end_y,amplitude
0.566667,0.6,719.3999999999996,189.62857142857135,715.4428571428568,187.48571428571418,4.50009070203371
0.866667,0.9,711.0571428571425,185.89999999999992,726.4857142857139,170.49999999999991,21.79910127336747
7.833333,7.866667,552.1142857142854,307.61428571428553,480.98571428571404,365.12857142857126,91.47221837636755
8.1,8.133333,534.985714285714,355.6999999999998,540.0142857142855,356.0142857142855,5.038383284591333
8.533333,8.566667,524.8428571428569,352.25714285714275,515.8142857142855,350.4999999999999,9.197970051115911
8.6,8.633333,516.7142857142856,349.642857142857,512.3571428571427,349.5571428571427,4.357985866926007
9.033333,9.066667,496.4571428571426,337.2285714285713,493.5714285714283,340.6714285714284,4.4922836336208665
12.266667,12.3,526.9142857142855,305.51428571428556,539.942857142857,292.5857142857141,18.354607940597987
12.533333,12.566667,518.8428571428569,289.71428571428555,514.3999999999997,287.8571428571427,4.815387750085521
12.733333,12.766667,496.0714285714283,288.11428571428564,492.84285714285693,290.2857142857141,3.8908579401211023
12.833333,12.866667,488.3285714285712,293.8142857142856,485.4428571428569,296.3142857142856,3.8180291956421173
12.933333,12.966667,481.6571428571427,299.6999999999999,479.2857142857143,302.19999999999993,3.4458197093561362
