start_time,end_time,duration,x_center,y_center
0.0,1.869065,1.869065,251.50892857142847,305.1147959183672
2.035946,2.136075,0.10012899999999991,241.79047619047608,300.442857142857
2.202827,5.373564,3.170737,239.6371428571428,299.6412030075187
5.640574,8.444173,2.8035989999999993,257.81445578231285,308.6935374149659
8.577677,11.481405,2.903728000000001,259.4932676518883,299.6049261083743
11.648286,11.748414,0.10012799999999977,242.6095238095237,299.2238095238094
11.78179,14.585389,2.8035989999999984,240.97568027210872,299.43894557823114
14.75227,16.955098,2.2028280000000002,243.32121212121203,308.90346320346305
17.155355,19.491688,2.3363329999999998,259.8989795918366,299.55591836734686
19.691945,21.928149,2.2362040000000007,241.1727078891257,299.6976545842216
22.161782,24.331233,2.1694510000000022,258.862857142857,308.97120879120865
24.464738,25.265766,0.8010279999999987,260.01726190476177,300.3315476190475
25.432647,25.866538,0.43389099999999914,253.50989010989002,305.9967032967032
