start_time,end_time,start_x,start_y,end_x,end_y,amplitude
1.9691939999999999,1.9691939999999999,251.29166666666666,305.03333333333336,239.88095238095238,299.73333333333335,12.581510263486019
5.440317,5.5070689999999995,239.88095238095238,299.73333333333335,257.8076923076923,308.4945054945055,19.95309855733365
8.510925,8.477549,257.8076923076923,308.4945054945055,259.3858695652174,299.6902173913044,8.944614718384383
11.514781,11.548157,259.3858695652174,299.6902173913044,241.15425531914894,299.531914893617,18.232301492083206
14.652142,14.652142,241.15425531914894,299.531914893617,243.38732394366198,308.76056338028167,9.49497490108334
16.988474,17.055227,243.38732394366198,308.76056338028167,259.61842105263156,299.6118421052632,18.63189776509029
19.55844,19.591816,259.61842105263156,299.6118421052632,241.43150684931507,299.7260273972603,18.18727265204169
21.994901,22.061653,241.43150684931507,299.7260273972603,258.82394366197184,308.7112676056338,19.57629688895299
24.397986,24.36461,258.82394366197184,308.7112676056338,259.76666666666665,300.6,8.165867304443822
25.332519,25.332519,259.76666666666665,300.6,253.60526315789474,305.9736842105263,8.17553516244449
